  Trans India Travels India – The Land of Memories 
" The Red Fort, Delhi"
" The Taj Mahal, Agra"
" Pangong Lake, Ladakh"
" Valley of Flowers, Nainital"
" Jaisalmer Fort, Jaisalmer"
" Ruins of Hampi, Karnataka"
" Ghats at Varanasi, Uttar Pradesh"
" Backwaters, Kerala"
" Old Goa, Goa"
" Umaid Bhavan Palace, Jodhpur"
" Jama Masjid, Delhi"
" Akshardham Temple, Delhi"
" Old Bombay, Mumbai"
" Ajanta and Ellora Caves, Aurangabad"
" The Golden Temple, Amritsar"
" Charminar, Hyderabad"
" Amber Fort, Jaipur"
" Rashtrapati Bhavan, Delhi"
" Mahabodhi Temple, Bodh Gaya"
" Meenakshi Amman Temple, Madurai"
" Khajuraho Temples, Chattarpur"
" Elephanta Caves, Mumbai"
" City Palace, Udaipur"
" Havelock Island, Andamans"
" Tirupati, Chittoor"
" Tawang Monastery, Tawang"
" Kaziranga National Park, Assam"
" Kesaria Stupa, Kesaria"
" Palitana Temples, Bhavnagar"
" City Palace, Jaipur"
" Sun Temple, Konark"
" Rani Ki Vav, Patan"
" Chaturbhuj Temple, Orchha"
" Cellular Jail, Port Blair"
" Borra Caves, Vishakhapatnam"
" The Ridge, Shimla"
" Tso Moriri Lake, Ladakh"
" Mysore Palace, Mysore"
" Bangalore Palace and Grounds, Bangalore"
" Gwalior Fort, Gwalior"
" Bhimbetka Rock Shelters, Raisen"
" Victoria Terminus (Chattrapati Shivaji Terminus), Mumbai"
" Jagannath Temple, Puri"
" Lingaraja Temple Complex, Khurda"
" Udayagiri Caves, Bhopal"
" Qila Mubarak, Bhatinda"
" Jallianwala Bagh, Amritsar"
" Chhatrapati Shivaji Maharaj Vastu Sangrahalay, Mumbai"
" Lake Palace, Udaipur"
" Ghats and Old City of Pushkar, Pushkar"
" Ranakpur Jain Temple, Ranakpur"
" Bada Imambara, Lucknow"
" Fatehpur Sikri, Agra"
" Humayun’s Tomb, Delhi"
" The Great Stupa, Sanchi"
" Jantar Mantar Observatory, Jaipur"
" The Great Living Chola Temples, Thanjavur"
" Mahabalipuram, Kanchipuram"
" Agra Fort, Uttar Pradesh"
" Cave Temples, Badami"
" Nalanda University, Bihar Sharif"
" Junagarh Fort, Bikaner"
" Cooch Behar Palace, Cooch Behar"
" Nizamat Imambara, Murshidabad"
" Belur Math, Belur"
" St. Paul’s Cathedral, Kolkata"
" Akbar’s Tomb, Agra"
" Chota Imambara, Lucknow"
" Sundarbans National Park, South 24 Parganas"
" Makkah Masjid, Hyderabad"
" Ramanathaswamy Temple, Rameswaram"
" Basilica of Our Lady of Good Health, Velankanni"
" Marina Beach, Chennai"
" Gagron Fort, Jhalawar"
" Sariska Tiger Reserve, Alwar"
" Gateway of India, Mumbai"
" Kumbhalgarh Fort, Rajsamand"
" Ranthambore National Park, Sawai Madhopur"
" Mehrangarh Fort, Jodhpur"
" Munnar Hills, Idukki"
" Loktak Lake, Moirang"
" Kodaikanal Lake, Kodaikanal"
" Nainital Lake, Nainital"
" Jaigarh Fort, Jaipur"
" Jim Corbett National Park, Nainital"
" Dharamshala, Kangra"
" Laxmi Vilas Palace, Vadodara"
" Gir National Park, Junagarh"
" Marine National Park, Gulf of Kutch"
" Tughlaqabad Fort, Delhi"
" Pattadakal, Bagalkot"
" Bishnupur Temples, Bankura"
" Monuments at Mandu, Dhar"
" Shalimar Bagh, Jammu and Kashmir"
" Lotus Temple, Delhi"
" Kakatiya Temple, Warangal"
" Silent Valley National Park, Palakkad"
" Srirangapatna, Mandya"
" Purana Qila, Delhi"
" Chittorgarh Fort, Chittaur"
